"depthclass","hind","simulation","varname","year","month","date","unit","value_dc_610","value_dc_620","value_dc_630","value_610","value_620","value_630","value_dc_610_to_630"
"Bottom","yes","ssp126","temp",1980,1,1980-01-23,"Celsius",4.22255963631989,4.98458284074382,4.65344823368287,3.86864548627954,4.54601820361261,3.88478939947517,4.63545614609965
"Bottom","yes","ssp126","temp",1980,2,1980-02-15,"Celsius",4.24568193397209,4.59498737239118,4.34934860715494,3.83326405581141,4.16015489092589,3.53369698233548,4.39258923616128
"Bottom","yes","ssp126","temp",1980,3,1980-03-16,"Celsius",3.71132015087933,3.9499109328744,4.14583514235553,3.47339088443305,3.73345832664139,3.39634145554512,3.97583205976888
"Bottom","yes","ssp126","temp",1980,4,1980-04-15,"Celsius",3.47535262622104,3.82408947254216,4.40422469817674,3.28244308932757,3.67264762533062,3.62574275274112,3.99457400063714
"Bottom","yes","ssp126","temp",1980,5,1980-05-16,"Celsius",4.04162875254321,4.46305868016145,5.58156523684947,3.63507420438789,4.06119353027437,4.47238650915488,4.85750392226953
"Bottom","yes","ssp126","temp",1980,6,1980-06-15,"Celsius",5.01499572402739,5.19451182200451,6.74323526820612,4.2597768785091,4.45443792562888,5.39704646955612,5.84653102326748
"Bottom","yes","ssp126","temp",1980,7,1980-07-16,"Celsius",5.72846964598264,5.72118167205902,7.76443248000231,4.80546239591428,4.80517240221907,6.36888707145876,6.64536343388269
"Bottom","yes","ssp126","temp",1980,8,1980-08-16,"Celsius",6.31219545997141,6.20574115835564,8.33528402195135,5.17549866571289,5.09554137570305,7.024295831622,7.19485596863328
"Bottom","yes","ssp126","temp",1980,9,1980-09-15,"Celsius",6.7124679158864,6.6504401644547,8.56083333294241,5.36327809053643,5.30327787507118,6.90080428946935,7.528995911371
"Bottom","yes","ssp126","temp",1980,10,1980-10-16,"Celsius",6.8178199319632,6.96811221334996,7.72883460473951,5.41897357490467,5.57174650621215,6.27905287033612,7.27210453845225
"Bottom","yes","ssp126","temp",1980,11,1980-11-15,"Celsius",6.18975793245468,6.40248301099466,5.9846378298599,5.13871448350578,5.37899409263372,4.99612875032294,6.15814119559141
"Bottom","yes","ssp126","temp",1980,12,1980-12-16,"Celsius",5.41028525946422,5.1882671920017,4.20204589891471,4.63160645807334,4.65771697222198,3.85979026077565,4.80128348176292
"Bottom","yes","ssp126","temp",1981,1,1981-01-16,"Celsius",4.59125968193322,4.27729241021543,3.61532081238993,4.1767963992213,3.93992356977748,3.13304127639687,4.06075887544216
"Bottom","yes","ssp126","temp",1981,2,1981-02-14,"Celsius",3.81268471335563,3.58935228055257,3.46661581156627,3.50446052872944,3.5139857318942,2.83963940640801,3.59246836281854
"Bottom","yes","ssp126","temp",1981,3,1981-03-16,"Celsius",3.12217904328045,3.19692829824411,3.32591755890691,3.02105539367113,3.16404380262187,2.59933184948857,3.2355654584885
"Bottom","yes","ssp126","temp",1981,4,1981-04-15,"Celsius",3.22263731287011,3.13891002937178,3.8541350434303,3.0403944154501,3.04389377647257,2.99866717190048,3.48368240646005
"Bottom","yes","ssp126","temp",1981,5,1981-05-16,"Celsius",3.83150075045537,3.89034185366353,5.28775203299741,3.41767367281253,3.48414063712295,4.12886901524909,4.50568058955548
"Bottom","yes","ssp126","temp",1981,6,1981-06-15,"Celsius",4.61724823780579,4.67444749964061,6.79759620982721,3.83083177249883,3.90172840459406,5.45628749973219,5.61779660659688
"Bottom","yes","ssp126","temp",1981,7,1981-07-16,"Celsius",5.28594140680407,5.3716916692208,8.07546324518977,4.29857429920825,4.38296210803002,6.7108614628374,6.56963862209759
"Bottom","yes","ssp126","temp",1981,8,1981-08-16,"Celsius",5.90594266195951,5.98160239711931,8.80086999794803,4.67477648700537,4.8151182587746,7.51641108035336,7.23432522174481
"Bottom","yes","ssp126","temp",1981,9,1981-09-15,"Celsius",6.36083204411733,6.70119318337313,9.07614228928451,4.95582546204772,5.35992066580928,7.59998394487405,7.6840062715266
"Bottom","yes","ssp126","temp",1981,10,1981-10-16,"Celsius",6.51123387776666,7.14846499205035,8.31805514510784,5.16460916691473,5.73659870320268,6.88900974734694,7.50942513360086
"Bottom","yes","ssp126","temp",1981,11,1981-11-15,"Celsius",6.19087846991927,6.84629296184332,7.11490531381133,5.1397338758214,5.78962119203948,6.00056722529578,6.79581000143112
"Bottom","yes","ssp126","temp",1981,12,1981-12-16,"Celsius",5.67378318581614,6.51714656457435,7.01066377423314,4.84778886770824,5.69450174680202,5.52586176191604,6.51893476045893
"Bottom","yes","ssp126","temp",1982,1,1982-01-16,"Celsius",4.75903029528104,5.58148392485542,5.45469454585806,4.31701517131809,5.05751748084749,4.46500277111594,5.30875992112664
"Bottom","yes","ssp126","temp",1982,2,1982-02-14,"Celsius",4.21915410102477,4.93054084804984,4.4778302115595,3.8131197116364,4.37576421973332,3.63471694143288,4.53980524677646
"Bottom","yes","ssp126","temp",1982,3,1982-03-16,"Celsius",3.84357476552783,4.46552187692824,4.16539930640835,3.57493439455472,4.12336952350695,3.41535900925946,4.16709515119385
"Bottom","yes","ssp126","temp",1982,4,1982-04-15,"Celsius",4.08519581017297,4.49452016991521,4.66650205916316,3.86654593609014,4.28786731057892,3.92472624945444,4.46489972710773
"Bottom","yes","ssp126","temp",1982,5,1982-05-16,"Celsius",4.74489354292798,5.11747068075963,5.98499603258381,4.3626789869431,4.72056011562047,4.94406556951753,5.4114294169241
"Bottom","yes","ssp126","temp",1982,6,1982-06-15,"Celsius",5.59535587190071,5.84647806637009,7.25620303399235,4.88565800605182,5.14732904535855,5.95606435971909,6.41699503015771
"Bottom","yes","ssp126","temp",1982,7,1982-07-16,"Celsius",6.2684417992879,6.37750826647153,8.51318223478303,5.423966330423,5.59806445137815,7.1921279541789,7.3129210214284
"Bottom","yes","ssp126","temp",1982,8,1982-08-16,"Celsius",6.87481603456439,6.94686121096957,9.17403678975076,5.86895013552313,6.02276696589468,7.91084106328652,7.93327560035682
"Bottom","yes","ssp126","temp",1982,9,1982-09-15,"Celsius",7.46709210249534,7.66161018864608,9.24097949931244,6.23768719677486,6.4317918689473,7.82363777872803,8.32353143255405
"Bottom","yes","ssp126","temp",1982,10,1982-10-16,"Celsius",7.90705499402557,8.13733039665328,8.38159418210388,6.32267623173121,6.64047518157696,6.95478490269056,8.18724954344766
"Bottom","yes","ssp126","temp",1982,11,1982-11-15,"Celsius",7.10949596854654,7.10928071005667,6.2684411750084,5.9754325014244,6.03294583138476,5.24833719057336,6.72980321655396
"Bottom","yes","ssp126","temp",1982,12,1982-12-16,"Celsius",6.13034426859004,5.71069055079924,5.23362357821445,5.22236667325711,5.06530895947486,4.47172191149869,5.60530967012425
"Bottom","yes","ssp126","temp",1983,1,1983-01-16,"Celsius",4.84706711969658,4.99146047088013,5.0199280826539,4.39059429922683,4.551911814694,4.15017159915435,4.96647694207734
"Bottom","yes","ssp126","temp",1983,2,1983-02-14,"Celsius",3.21909500374451,3.79341860279876,4.60763859945691,3.05370846643715,3.64510820852877,3.73678009745174,4.01045621809435
"Bottom","yes","ssp126","temp",1983,3,1983-03-16,"Celsius",2.75498947241503,3.77575581183453,4.58966945583422,2.73913163619136,3.60176012964224,3.82777531972959,3.87568085010566
"Bottom","yes","ssp126","temp",1983,4,1983-04-15,"Celsius",3.28435444765473,4.17310356066425,5.1376071839862,3.0995065857102,3.99291985970628,4.46176328921041,4.37559151777367
"Bottom","yes","ssp126","temp",1983,5,1983-05-16,"Celsius",4.00045514593972,4.90516588338059,6.44322327650871,3.59247557939011,4.50664794840402,5.47981097649284,5.36235946782466
"Bottom","yes","ssp126","temp",1983,6,1983-06-15,"Celsius",5.05579296020103,5.71094432840114,7.67477650725981,4.30377407623288,5.00328765629272,6.41221399622796,6.4257100569245
"Bottom","yes","ssp126","temp",1983,7,1983-07-16,"Celsius",5.88225294598739,6.26658183762758,8.59225880324685,4.98161143532762,5.4640569553834,7.27907164078311,7.21563454494466
"Bottom","yes","ssp126","temp",1983,8,1983-08-16,"Celsius",6.45320067669751,6.89297978319456,9.13615155596008,5.34929301168107,5.95535516332256,7.87079711391662,7.79026297540478
"Bottom","yes","ssp126","temp",1983,9,1983-09-15,"Celsius",6.9837870655687,7.56962273853017,9.42087414585493,5.67766495937663,6.32912948553675,8.06772178974846,8.25173401828363
"Bottom","yes","ssp126","temp",1983,10,1983-10-16,"Celsius",7.47664947605646,7.98908037573682,8.94309064297117,5.96558286993194,6.50496664199094,7.536042011462,8.28543257647512
"Bottom","yes","ssp126","temp",1983,11,1983-11-15,"Celsius",6.91806455278145,7.4259802021089,7.37476101431337,5.80128061416862,6.32596628655033,6.23149403441956,7.26978007769722
"Bottom","yes","ssp126","temp",1983,12,1983-12-16,"Celsius",6.04097617730923,6.51312298270448,6.56556715784919,5.14904613679204,5.691362569155,5.26183054772773,6.41308584426356
"Bottom","yes","ssp126","temp",1984,1,1984-01-16,"Celsius",5.03880485035917,5.47504603111558,5.42510600752565,4.55084422990089,4.96630822161258,4.44357656880224,5.33820301143472
"Bottom","yes","ssp126","temp",1984,2,1984-02-15,"Celsius",4.72569915840824,4.80542789075996,4.54004679916057,4.19777299245077,4.29537309669866,3.68363536180729,4.66475146377598
"Bottom","yes","ssp126","temp",1984,3,1984-03-16,"Celsius",3.8851592658921,3.80771644559708,3.85216815127255,3.60686247619381,3.62592914526662,3.11087933398602,3.84807194316299
"Bottom","yes","ssp126","temp",1984,4,1984-04-15,"Celsius",3.45962427082225,3.66365807557957,4.34136925752978,3.26737859831564,3.52542800377986,3.55409059274758,3.91610018364769
"Bottom","yes","ssp126","temp",1984,5,1984-05-16,"Celsius",4.05110222296108,4.39778218407586,5.74650098525971,3.64487555158695,3.9954228226957,4.66522438780206,4.91572501003343
"Bottom","yes","ssp126","temp",1984,6,1984-06-15,"Celsius",4.82087323800786,5.20674698512793,7.26451332355162,4.05042825097753,4.46744110784871,5.96512068030279,6.0344667753693
"Bottom","yes","ssp126","temp",1984,7,1984-07-16,"Celsius",5.44811982058364,5.78972037130923,8.4768855611683,4.48433941024416,4.88797232249937,7.15222022073978,6.9131352321738
"Bottom","yes","ssp126","temp",1984,8,1984-08-16,"Celsius",6.08317575772872,6.41096044587981,9.11312077816723,4.89322308549511,5.35229407632446,7.84645403331214,7.54476368918187
"Bottom","yes","ssp126","temp",1984,9,1984-09-15,"Celsius",6.52139190957127,7.02905858041274,9.27015934736495,5.14187172314126,5.7258340926465,7.86322947581581,7.9076194727735
"Bottom","yes","ssp126","temp",1984,10,1984-10-16,"Celsius",6.7221367617028,7.41168754551106,8.49305066330277,5.33958838231439,5.97719835765847,7.07016385256931,7.71911572273
"Bottom","yes","ssp126","temp",1984,11,1984-11-15,"Celsius",6.16911601157615,6.70824164584534,6.79235438291021,5.11993580257082,5.66189171831092,5.7139248422001,6.60494950441469
"Bottom","yes","ssp126","temp",1984,12,1984-12-16,"Celsius",5.53717866792782,5.56186005126487,5.08318778361796,4.73571400528724,4.94919217785032,4.38248343148645,5.33933251473474
"Bottom","yes","ssp126","temp",1985,1,1985-01-16,"Celsius",4.96069281970319,4.7627266918849,4.50277190286689,4.48556001351753,4.3559041917402,3.77567885431477,4.69725953343298
"Bottom","yes","ssp126","temp",1985,2,1985-02-14,"Celsius",4.22458128948615,3.73518271949984,4.04008031740715,3.81724093603064,3.60768883837937,3.2905316659835,4.00103518487271
"Bottom","yes","ssp126","temp",1985,3,1985-03-16,"Celsius",3.28123886006196,2.91754900689556,3.51119468323303,3.14317961714893,2.9527738225615,2.77943244844067,3.28079766119283
"Bottom","yes","ssp126","temp",1985,4,1985-04-15,"Celsius",3.16986186764041,3.08503511468829,3.88582045004179,2.98984652279667,2.99445554492347,3.03478700179299,3.46871535313494
"Bottom","yes","ssp126","temp",1985,5,1985-05-16,"Celsius",3.68918636603707,3.7714830301482,5.29213692106675,3.27043378799972,3.3643819277351,4.13399569349529,4.43630520099526
"Bottom","yes","ssp126","temp",1985,6,1985-06-15,"Celsius",4.50529503083757,4.61378384209657,6.74106436724019,3.71009743251002,3.83725680047982,5.3946806825444,5.54555936115407
"Bottom","yes","ssp126","temp",1985,7,1985-07-16,"Celsius",5.09032735804064,5.27007289205572,7.65130776942985,4.07451078396071,4.260198957572,6.24450788335952,6.29780677472067
"Bottom","yes","ssp126","temp",1985,8,1985-08-16,"Celsius",5.65209525838538,5.84381774027399,8.3053080386086,4.36189981120421,4.64273396109954,6.99261180491328,6.90463877938676
"Bottom","yes","ssp126","temp",1985,9,1985-09-15,"Celsius",6.09391350012964,6.41185654164972,8.76904414659095,4.64653772700234,5.03700716826261,7.18330814108429,7.39252639129484
"Bottom","yes","ssp126","temp",1985,10,1985-10-16,"Celsius",6.18627371871126,6.77422472067565,8.18720667432126,4.89500036590431,5.39452284840844,6.75355634894244,7.25795790624335
"Bottom","yes","ssp126","temp",1985,11,1985-11-15,"Celsius",5.96231199343001,6.53102470947045,7.01483535818057,4.93179891862057,5.49792496540228,5.91163773289548,6.60039395584175
"Bottom","yes","ssp126","temp",1985,12,1985-12-16,"Celsius",5.34619168564519,5.80621234536159,6.08401389946332,4.57902197127247,5.13983456675484,4.97617326158409,5.81107310147712
"Bottom","yes","ssp126","temp",1986,1,1986-01-16,"Celsius",3.99429425535562,4.5200281445546,4.47078439593377,3.6778665960298,4.14792981399189,3.75251546627038,4.36005105362601
